trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
6,True,"{'a': 0, 'e': 0}",20,12,18.13911078734208,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,14,-21.540069478070343,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",30,0,-62.44902907046348,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,13,11.974539830562748,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-29.45640450478596,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
11,True,"{'a': 0, 'e': 0}",25,0,31.051653885239045,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0, 'e': 0}",20,2,26.65837125326197,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,5,-16.52564197848392,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,True,"{'a': 0, 'e': 0}",20,16,8.514455430413227,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",30,5,26.445560973345273,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,14,6.296387100361228,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,7,20.502444117755896,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",25,3,-9.846000449707597,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,True,"{'a': 0, 'e': 0}",30,0,23.20360478348151,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
20,True,"{'a': 0, 'e': 0}",25,0,-50.8791105899067,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
21,True,"{'a': 0, 'e': 0}",20,0,29.721158044936708,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,True,"{'a': 0, 'e': 0}",30,2,-44.9975499977827,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 2}",1
23,True,"{'a': 0, 'e': 0}",30,0,22.14271288497438,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
24,True,"{'a': 0, 'e': 0}",20,5,21.607681183282967,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",20,13,10.812766859218359,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
